newcomb_species_name,species_inat,subspecies_inat,suggested_species_id,species_page,key_page_range_start,key_page_range_end,key_group_number,key_flower_type,key_plant_type,key_leaf_type,key_subgroup_1,key_subgroup_2,key_subgroup_3,key_description,species_inat_link,subspecies_inat_link,warning_species_extraction,warning_key_extraction
Baptisia alba,Baptisia alba,,,60.0,60,62.0,134,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Divided,"Leaflets 3, entire or finely toothed",Flowers not yellow,Middle leaflet distinctly stalked,Leaflets finely toothed,https://www.inaturalist.org/taxa/126835,,0.0,0.0
Belamcanda chinensis,Iris domestica,,Iris domestica,348.0,348,350.0,632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Flowers solitary, or in umbels or small clusters, not bell-shaped",https://www.inaturalist.org/taxa/204330,,0.0,0.0
Bidens coronata,Bidens trichosperma,,Bidens trichosperma,394.0,394,396.0,744,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,https://www.inaturalist.org/taxa/204254,,0.0,0.0
Brassica kaber,Rhamphospermum arvense,,Rhamphospermum arvense,142.0,142,144.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Yellow flowers,,,"Flowers 1/2"" or more wide",https://www.inaturalist.org/taxa/1451052,,0.0,0.0
Brassica nigra,Rhamphospermum nigrum,,Rhamphospermum nigrum,144.0,144,146.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Yellow flowers,,,"Flowers under 1/2"" wide",https://www.inaturalist.org/taxa/1451050,,0.0,0.0
Cacalia atriplicifolia,Arnoglossum atriplicifolium,,Arnoglossum atriplicifolium,420.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/146715,,0.0,0.0
Cacalia muhlenbergii,Arnoglossum reniforme,,Arnoglossum reniforme,420.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/359187,,0.0,0.0
Cacalia suaveolens,Hasteola suaveolens,,Hasteola suaveolens,420.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/157470,,0.0,0.0
Cacalia tuberosa,Arnoglossum plantagineum,,Arnoglossum plantagineum,414.0,412,416.0,832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,,,"Larger leaves 2-12"" long",https://www.inaturalist.org/taxa/128934,,0.0,0.0
Calopogon pulchellus,Calopogon tuberosus,var.tuberosus,Calopogon tuberosus,20.0,20,22.0,122,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Entire,,,,"Leaf solitary, not heart- or arrow-shaped",https://www.inaturalist.org/taxa/82578,https://www.inaturalist.org/taxa/239719,0.0,0.0
Campanula americana,Campanulastrum americanum,,Campanulastrum americanum,216.0,216,218.0,533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,Flowers star- or wheel-shaped,https://www.inaturalist.org/taxa/159769,,0.0,0.0
Campanula aparinoides,Campanula aparinoides,,Palustricodon aparinoides,212.0,212,214.0,533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,Flowers bell- or funnel-shaped,https://www.inaturalist.org/taxa/1449995,,0.0,0.0
Campanula rotundifolia,Campanula rotundifolia,,Campanula rotundifolia,196.0,194,198.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Blue, violet or purple flowers",,,0.0,0.0
Campanula rotundifolia,Campanula rotundifolia,,Campanula rotundifolia,196.0,194,198.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Blue, violet or purple flowers",https://www.inaturalist.org/taxa/984576,https://www.inaturalist.org/taxa/984576,0.0,0.0
Cardamine pratensis,Cardamine polemonioides,,,148.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",,,0.0,0.0
Cardamine pratensis,Cardamine pratensis,ssp. paludosa,,148.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/515428-Cardamine-pratensis-paludosa,,,0.0
Cardamine pratensis,Cardamine pratensis,ssp. pratensis,ssp. paludosa,148.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/54531,,0.0,0.0
Cassia fasciculata,Chamaecrista fasciculata,,Chamaecrista fasciculata,236.0,236,240.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,https://www.inaturalist.org/taxa/127907,,0.0,0.0
Cassia hebecarpa,Senna hebecarpa,,Senna hebecarpa,236.0,236,240.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,https://www.inaturalist.org/taxa/136373,,0.0,0.0
Cassia marilandica,Senna marilandica,,Senna marilandica,236.0,236,240.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,https://www.inaturalist.org/taxa/79061,,0.0,0.0
Cassia nictitans,Chamaecrista nictitans,,Chamaecrista nictitans,236.0,236,240.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,https://www.inaturalist.org/taxa/131568,,0.0,0.0
Cassia nictitans,ssp. nictitans,,Chamaecrista nictitans,236.0,236,240.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,https://www.inaturalist.org/taxa/235040,https://www.inaturalist.org/taxa/235040,0.0,0.0
Cassiope hypnoides,Harrimanella hypnoides,,Harrimanella hypnoides,198.0,198,200.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Flowers 3/4"" or more wide",https://www.inaturalist.org/taxa/163524,,0.0,0.0
Caulophyllum thalictroides,Caulophyllum giganteum,,Caulophyllum giganteum,354.0,354,356.0,651-653,6 Regular Parts,Shrubs,No Apparent Leaves,,,,Shrubs,https://www.inaturalist.org/taxa/127920,,0.0,0.0
Caulophyllum thalictroides,Caulophyllum thalictroides,,Caulophyllum thalictroides,354.0,354,356.0,651-653,6 Regular Parts,Shrubs,No Apparent Leaves,,,,Shrubs,https://www.inaturalist.org/taxa/84330,,0.0,0.0
Centaurea maculosa,Centaurea stoebe,,Centaurea stoebe,234.0,234,236.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Flowers not yellow,,Stem leaves or leaflets deeply lobed or divided,https://www.inaturalist.org/taxa/76214,,0.0,0.0
Centaurea maculosa,ssp. australis,,Centaurea stoebe,234.0,234,236.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Flowers not yellow,,Stem leaves or leaflets deeply lobed or divided,https://www.inaturalist.org/taxa/521869,https://www.inaturalist.org/taxa/521869,0.0,0.0
Centaurium umbellatum,Centaurium erythraea,,Centaurium erythraea,254.0,252,256.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers 1/2"" or more long, funnel- or club-shaped, or tubular with small flaring lobes",https://www.inaturalist.org/taxa/56236,,0.0,0.0
Centaurium umbellatum,ssp. erythraea,,Centaurium erythraea,254.0,252,256.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers 1/2"" or more long, funnel- or club-shaped, or tubular with small flaring lobes",https://www.inaturalist.org/taxa/412178,https://www.inaturalist.org/taxa/412178,0.0,0.0
Cerastium arvense,Cerastium arvense,ssp. arvense,ssp. arvense,274.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,,,0.0,0.0
Cerastium arvense,Cerastium arvense,ssp. arvense,ssp. arvense,274.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/50851,,0.0,0.0
Cerastium arvense,Cerastium arvense,ssp. arvense,var. velutinum,274.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,,,0.0,0.0
Cerastium vulgatum,Cerastium fontanum,,Cerastium fontanum,274.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/53307,,0.0,0.0
Chaenorrhinum minus,Chaenorhinum minus,,Chaenorhinum minus,40.0,40,42.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Otherwise,https://www.inaturalist.org/taxa/62396,,0.0,0.0
Chaenorrhinum minus,Chaenorrhinum minus,ssp. minus,Chaenorhinum minus,40.0,40,42.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Otherwise,https://www.inaturalist.org/taxa/359262,https://www.inaturalist.org/taxa/359262,0.0,0.0
Chenopodium album,Chenopodium album,var.album,,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/58127,https://www.inaturalist.org/taxa/181727,0.0,0.0
Chenopodium ambrosioides,Dysphania ambrosioides,,Dysphania ambroisioides,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/76746,,0.0,0.0
Chenopodium ambrosioides,Dysphania anthelmintica,,,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",,,0.0,0.0
Chenopodium botrys,Dysphania botrys,,Dysphania botrys,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/76748,,0.0,0.0
Chenopodium capitatum,Blitum capitatum,,Blitum capitatum,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/895061,,0.0,0.0
Chenopodium capitatum,ssp. capitatum,,Blitum capitatum,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/931614,https://www.inaturalist.org/taxa/931614,0.0,0.0
Chenopodium glaucum,Oxybasis glauca,,Oxybasis glauca,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/931646,,0.0,0.0
Chenopodium hybridum,Chenopodiastrum simplex,,Chenopodiastrum simplex,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/878051,,0.0,0.0
Chenopodium rubrum,Oxybasis rubra,var.rubra,Oxybasis rubra,422.0,420,424.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",https://www.inaturalist.org/taxa/931679,https://www.inaturalist.org/taxa/931836,0.0,0.0
Chrysanthemum leucanthemum,Leucanthemum vulgare,,Leucanthemum vulgare,380.0,380,382.0,733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,Daisylike or asterlike flowers,,Leaves deeply lobed or divided,https://www.inaturalist.org/taxa/56057,,0.0,0.0
Chrysanthemum parthenium,Tanacetum parthenium,,Tanacetum parthenium,380.0,380,382.0,733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,Daisylike or asterlike flowers,,Leaves deeply lobed or divided,https://www.inaturalist.org/taxa/54520,,0.0,0.0
Chrysopsis falcata,Pityopsis falcata,,Pityopsis falcata,366.0,366,368.0,732,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Yellow or orange flowers,,,Dandelionlike flowers,https://www.inaturalist.org/taxa/166937,,0.0,0.0
Cimicifuga americana,Actaea podocarpa,,Actaea podocarpa,424.0,424,426.0,834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves divided into 3 or more lance-shaped or wider leaflets,,,"Flowers in spikes, racemes or heads",https://www.inaturalist.org/taxa/116343,,0.0,0.0
Cimicifuga racemosa,Actaea racemosa,,Actaea racemosa,424.0,424,426.0,834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves divided into 3 or more lance-shaped or wider leaflets,,,"Flowers in spikes, racemes or heads",https://www.inaturalist.org/taxa/119813,,0.0,0.0
Cleistes divaricata,Cleistesiopsis divaricata,,Cleistesiopsis divaricata,38.0,38,40.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Orchids with crested or pouched lip,https://www.inaturalist.org/taxa/341748,,0.0,0.0
Clematis verticillaris,Clematis occidentalis,var.occidentalis,Clematis occidentalis,170.0,170,172.0,464,4 Regular Parts,Vines,Leaves Divided,,,,Vines,https://www.inaturalist.org/taxa/117512,https://www.inaturalist.org/taxa/240067,0.0,0.0
Convolvulus sepium,Calystegia sepium,,,324.0,322,326.0,562,5 Regular Parts,Vines,Leaves Entire,,,,Leaves heart- or arrow-shaped at the base,https://www.inaturalist.org/taxa/57481,,0.0,0.0
Convolvulus sepium,Calystegia silvatica,,ssp. fraterniflora,324.0,322,326.0,562,5 Regular Parts,Vines,Leaves Entire,,,,Leaves heart- or arrow-shaped at the base,https://www.inaturalist.org/taxa/75968,,0.0,0.0
Convolvulus spithamaeus,Calystegia spithamaea,,Calystegia spithamaea,198.0,198,200.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Flowers 3/4"" or more wide",https://www.inaturalist.org/taxa/159727,,0.0,0.0
Coptis groenlandica,Coptis trifolia,,Coptis trifolia,184.0,184,186.0,524,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaflets 3,https://www.inaturalist.org/taxa/126251,,0.0,0.0
Cornus stolonifera,Cornus sericea,,Cornus sericea,166.0,166,168.0,452,4 Regular Parts,Shrubs,Leaves Entire,Shrubs over 2' high,,,Flowers with 4 petals,https://www.inaturalist.org/taxa/53387,,0.0,0.0
Coronilla varia,Securigera varia,,Securigera varia,66.0,66,68.0,134,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Divided,,,,"Leaflets 4 or more, entire or finely toothed",https://www.inaturalist.org/taxa/127186,,0.0,0.0
Corydalis sempervirens,Capnoides sempervirens,,Capnoides sempervirens,70.0,70,72.0,134,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply cleft into irregularly lobed or very narrow segments,Leaves deeply cleft into irregularly lobed or very narrow segments,,"Yellow, red or pink flowers",https://www.inaturalist.org/taxa/204148,,0.0,0.0
Cuphea petiolata,Cuphea viscosissima,,Cuphea viscosissima,76.0,76,78.0,142,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,"Flowers stalkless, growing in whorls, heads or dense clusters",https://www.inaturalist.org/taxa/161259,,0.0,0.0
Cynanchum nigrum,Vincetoxicum nigrum,,Vincetoxicum nigrum,326.0,326,328.0,563,5 Regular Parts,Vines,Leaves Toothed or Lobed,,,,Vines without tendrils,https://www.inaturalist.org/taxa/208963,,0.0,0.0
Cynoglossum virginianum,Andersonglossum virginianum,,Andersonglossum virginianum,194.0,194,198.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Blue, violet or purple flowers",https://www.inaturalist.org/taxa/769248,,0.0,0.0
Cypripedium calceolus var. parviflorum,Cypripedium parviflorum,var. makasin,Cypripedium parviflorum,38.0,38,40.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Orchids with crested or pouched lip,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,0.0
Cypripedium calceolus var. pubescens,Cypripedium parviflorum,var. parviflorum,,38.0,38,40.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Orchids with crested or pouched lip,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,0.0
Cypripedium calceolus var. pubescens,Cypripedium parviflorum,var. pubescens,,38.0,38,40.0,132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Orchids with crested or pouched lip,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,0.0
Dalibarda repens,Rubus repens,,Rubus repens,182.0,182,184.0,524,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaflets more than 3,https://www.inaturalist.org/taxa/130751,,0.0,0.0
Dentaria diphylla,Cardamine diphylla,,Cardamine diphylla,162.0,162,164.0,444,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,https://www.inaturalist.org/taxa/118512,,0.0,0.0
Dentaria heterophylla,Cardamine angustata,,Cardamine angustata,162.0,162,164.0,444,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,https://www.inaturalist.org/taxa/127680,,0.0,0.0
Dentaria laciniata,Cardamine concatenata,,Cardamine concatenata,162.0,162,164.0,444,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,https://www.inaturalist.org/taxa/60438,,0.0,0.0
Dentaria maxima,Cardamine maxima,,Cardamine maxima,150.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/116347,,0.0,0.0
Dentaria multifida,Cardamine dissecta,,Cardamine dissecta,162.0,162,164.0,444,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,https://www.inaturalist.org/taxa/129623,,0.0,0.0
Desmodium glutinosum,Hylodesmum glutinosum,,Hylodesmum glutinosum,102.0,102,104.0,143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,- Flowers 2-lipped,,Stem round,https://www.inaturalist.org/taxa/204156,,0.0,0.0
Desmodium nudiflorum,Hylodesmum nudiflorum,,Hylodesmum nudiflorum,36.0,36,38.0,124,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaves divided into 3 or more leaflets,https://www.inaturalist.org/taxa/204173,,0.0,0.0
Diodia teres,Hexasepalum teres,var.teres,Hexasepalum teres,158.0,156,160.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Flowers not yellow or straw-colored,https://www.inaturalist.org/taxa/787459,https://www.inaturalist.org/taxa/947153,0.0,0.0
Diodia teres,Dipsacus sativus,,,158.0,156,160.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Flowers not yellow or straw-colored,,,0.0,0.0
Dipsacus sylvestris,Dipsacus fullonum,,Dipsacus fullonum,160.0,160,162.0,443,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Flowers 4-lobed, the parts obviously joined",https://www.inaturalist.org/taxa/56002,,0.0,0.0
Disporum lanuginosum,Prosartes lanuginosa,,Prosartes lanuginosa,340.0,340,344.0,632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Nodding, bell-shaped flowers",https://www.inaturalist.org/taxa/68913,,0.0,0.0
Dodecatheon amethystinum,Primula fassettii,,Primula fassettii,174.0,174,176.0,522,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Flower stalk bearing more than 1 flower,https://www.inaturalist.org/taxa/549995,,0.0,0.0
Dodecatheon meadia,Primula meadia,,Primula meadia,174.0,174,176.0,522,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Flower stalk bearing more than 1 flower,https://www.inaturalist.org/taxa/549981,,0.0,0.0
Duchesnea indica,Potentilla indica,,Potentilla indica,240.0,240,242.0,534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,"Leaflets 3-7, regularly toothed",https://www.inaturalist.org/taxa/243824,,0.0,0.0
Epilobium angustifolium,Chamaenerion angustifolium,,Chamaenerion angustifolium,130.0,130,132.0,432,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,"White, pink, magenta or purple flowers",,,Leaves not evergreen,https://www.inaturalist.org/taxa/564969,,0.0,0.0
Epilobium strictum,Epilobium strictum,,Epilobium densum,156.0,156,160.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Flowers not yellow or straw-colored,https://www.inaturalist.org/taxa/162368,,0.0,0.0
Epilobium glandulosum,Epilobium ciliatum,ssp. ciliatum,,160.0,160,162.0,443,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Flowers 4-lobed, the parts obviously joined",,,0.0,0.0
Epilobium glandulosum,Epilobium ciliatum,ssp. glandulosum,,160.0,160,162.0,443,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Flowers 4-lobed, the parts obviously joined",https://www.inaturalist.org/taxa/1319405,https://www.inaturalist.org/taxa/1319405,0.0,0.0
Erechtites hieracifolia,Erechtites hieraciifolius,,Erechtites hieraciifolius,418.0,418,420.0,833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,Larger leaves more than twice as long as wide,https://www.inaturalist.org/taxa/130888,,0.0,0.0
Erigeron strigosus,Erigeron strigosus,,var. strigosus,382.0,382,384.0,733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,Daisylike or asterlike flowers,,Leaves toothed,https://www.inaturalist.org/taxa/76942,,0.0,0.0
Eriocaulon septangulare,Eriocaulon aquaticum,,Eriocaulon aquaticum,398.0,398,400.0,811,Parts Indistinguishable,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,https://www.inaturalist.org/taxa/69685,,0.0,0.0
Eupatorium album,Eupatorium album,,Eupatorium album,434.0,434,436.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,White flowers,https://www.inaturalist.org/taxa/162779,,0.0,0.0
Eupatorium album,Eupatorium subvenosum,,Eupatorium subvenosum,434.0,434,436.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,White flowers,https://www.inaturalist.org/taxa/1361694,,0.0,0.0
Eupatorium aromaticum,Ageratina aromatica,,Ageratina aromatica,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",https://www.inaturalist.org/taxa/158107,,0.0,0.0
Eupatorium coelestinum,Conoclinium coelestinum,,Conoclinium coelestinum,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",https://www.inaturalist.org/taxa/119095,,0.0,0.0
Eupatorium dubium,Eutrochium dubium,,Eutrochium dubium,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",https://www.inaturalist.org/taxa/204153,,0.0,0.0
Eupatorium fistulosum,Eutrochium fistulosum,,Eutrochium fistulosum,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",https://www.inaturalist.org/taxa/132717,,0.0,0.0
Eupatorium hyssopifolium,Eupatorium hyssopifolium,,,432.0,432,434.0,842,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Leaves entire,https://www.inaturalist.org/taxa/136397,,0.0,0.0
Eupatorium hyssopifolium,Eupatorium torreyanum,,,432.0,432,434.0,842,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Leaves entire,,,0.0,0.0
Eupatorium maculatum,Eutrochium maculatum,var. foliosum,var. foliosum,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",,,0.0,0.0
Eupatorium maculatum,Eutrochium maculatum,var. foliosum,var. foliosum,436.0,436,438.0,843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",https://www.inaturalist.org/taxa/117440,,0.0,0.0
