newcomb_species_name,species_inat,subspecies_inat,suggested_species_id,species_page,key_page_range_start,key_page_range_end,key_group_number,key_flower_type,key_plant_type,key_leaf_type,key_subgroup_1,key_subgroup_2,key_subgroup_3,key_description,species_inat_link,subspecies_inat_link,warning_species_extraction,warning_key_extraction
Antennaria neodioica,Antennaria parlinii,ssp. fallax,,400.0,400,402.0,832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,,,,Stem and underside of leaves white-woolly,,,0.0,0.0
Antennaria parlinii,Antennaria parlinii,ssp. parlinii,Antennaria parlinii ssp. parlinii,400.0,400,402.0,832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,,,,Stem and underside of leaves white-woolly,https://www.inaturalist.org/taxa/234285,https://www.inaturalist.org/taxa/234285,0.0,0.0
Apocynum cannabinum,Apocynum cannabinum,,Apocynum cannabinum,250.0,250,252.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers under 1/2"" long, bell- or cup-shaped or tubular",https://www.inaturalist.org/taxa/58795,,0.0,0.0
Apocynum medium,Apocynum ×floribundum,,Apocynum ×floribundum,250.0,250,252.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers under 1/2"" long, bell- or cup-shaped or tubular",https://www.inaturalist.org/taxa/170490,https://www.inaturalist.org/taxa/170490,1.0,0.0
Arabis canadensis,Borodinia canadensis,,Borodinia canadensis,138.0,138,140.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",Leaves not arrow-shaped,,Flowers in 1 or more spikes or racemes,https://www.inaturalist.org/taxa/1068237,,0.0,0.0
Arabis glabra,Turritis glabra,,Turritis glabra,136.0,136,138.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",,,"Leaves with an arrow-shaped base, which clasps the stem",https://www.inaturalist.org/taxa/79460,,0.0,0.0
Arabis hirsuta,Arabis pycnocarpa,,Arabis pycnocarpa,136.0,136,138.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",,,"Leaves with an arrow-shaped base, which clasps the stem",https://huh.harvard.edu/files/22_2_141_al-shehbaz.pdf,,0.0,0.0
Arabis hirsuta,Arabis pycnocarpa,,Arabis pycnocarpa,136.0,136,138.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",,,"Leaves with an arrow-shaped base, which clasps the stem",https://www.inaturalist.org/taxa/75498,,0.0,0.0
Arabis hirsuta,Arabis pycnocarpa,,,136.0,136,138.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",,,"Leaves with an arrow-shaped base, which clasps the stem",,,0.0,0.0
Arabis laevigata,Borodinia laevigata,,Borodinia laevigata,150.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/1038574,,0.0,0.0
Arabis laevigata,Borodinia burkii,,,150.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/1068236,,0.0,0.0
Arabis laevigata,Borodinia serotina,,,150.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",,,0.0,0.0
Arabis lyrata,Arabidopsis lyrata,,Arabidopsis lyrata,150.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/119826,,0.0,0.0
Arenaria caroliniana,Mononeuria caroliniana,,Mononeuria caroliniana,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/836805,,0.0,0.0
Arenaria groenlandica,Mononeuria groenlandica,,Mononeuria groenlandica,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/836799,,0.0,0.0
Arenaria groenlandica,Mononeuria glabra,,Mononeuria glabra,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/836798,,0.0,0.0
Arenaria lateriflora,Moehringia lateriflora,,Moehringia lateriflora,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/165493,,0.0,0.0
Arenaria peploides,Honckenya peploides,ssp. robusta,ssp. robusta,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.researchgate.net/publication/281577894_Taxonomic_studies_in_the_Alsinoideae_I_Generic_and_infra-generic_groups,,0.0,0.0
Arenaria peploides,Honckenya peploides,ssp. robusta,ssp. robusta,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/129446,,0.0,0.0
Arenaria serpyllifolia,Arenaria serpyllifolia,,,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/75553,,0.0,0.0
Arenaria serpyllifolia,Arenaria leptoclados,,,276.0,274,278.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,https://www.inaturalist.org/taxa/1445247,,0.0,0.0
Arenaria stricta,Sabulina michauxii,,Sabulina michauxii,272.0,272,274.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves whorled,https://www.inaturalist.org/taxa/836882,,0.0,0.0
Arisaema atrorubens,Arisaema triphyllum,,Arisaema triphyllum,36.0,36,38.0,124,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaves divided into 3 or more leaflets,https://www.inaturalist.org/taxa/50310,,0.0,0.0
Arisaema triphyllum,Arisaema pusillum,,Arisaema pusillum,36.0,36,38.0,124,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaves divided into 3 or more leaflets,https://www.inaturalist.org/taxa/1425373,,0.0,0.0
Aristolochia durior,Aristolochia macrophylla,,Aristolochia macrophylla,126.0,126,128.0,352,3 Regular Parts,Shrubs,Leaves Entire,,,,Shrubs,https://www.inaturalist.org/taxa/62772,,0.0,0.0
Armoracia aquatica,Rorippa aquatica,,Rorippa aquatica,148.0,148,152.0,434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",https://www.inaturalist.org/taxa/204396,,0.0,0.0
Armoracia lapathifolia,Armoracia rusticana,,Armoracia rusticana,138.0,138,140.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",Leaves not arrow-shaped,,Flowers in 1 or more spikes or racemes,https://www.inaturalist.org/taxa/75566,,0.0,0.0
Arnica mollis,Arnica lanceolata,,ssp. lanceolata,390.0,388,392.0,743,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Yellow flowers,,,Leaves with a pair of prominent lower veins running parallel to the midrib,https://www.inaturalist.org/taxa/75572,,0.0,0.0
Artemisia caudata,Artemisia campestris,,Artemisia campestris,428.0,426,430.0,834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply and irregularly lobed or divided into narrow segments,,,Leaves not prickly,https://www.inaturalist.org/taxa/127960,,0.0,0.0
Artemisia caudata,ssp. caudata,,Artemisia campestris,428.0,426,430.0,834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply and irregularly lobed or divided into narrow segments,,,Leaves not prickly,https://www.inaturalist.org/taxa/143078,https://www.inaturalist.org/taxa/143078,0.0,0.0
Artemisia caudata,ssp. canadensis,,,428.0,426,430.0,834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply and irregularly lobed or divided into narrow segments,,,Leaves not prickly,,,0.0,0.0
Asarum canadense,Asarum canadense,,Asarum canadense,154.0,154,156.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Yellow or straw-colored flowers,https://www.inaturalist.org/taxa/708601,,0.0,0.0
Asarum canadense,Asarum reflexum,,Asarum reflexum,154.0,154,156.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Yellow or straw-colored flowers,https://www.inaturalist.org/taxa/126750-Asarum-canadense-reflexum,,0.0,0.0
Asclepias tuberosa,Asclepias tuberosa,,,188.0,188,190.0,532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems jointed (Buckwheat Family),,Leaves arrow-shaped,https://www.inaturalist.org/taxa/47912,,0.0,0.0
Ascyrum hypericoides,Hypericum hypericoides,,,154.0,154,156.0,442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Yellow or straw-colored flowers,,,0.0,0.0
